Manga,First Issue ,Final Issue ,Mangaka 
Animal Kyūjō (アニマル球場),#1 1970,#13 1970,Haruna Mayuzuki  
Nusutto (ヌスット),#4-5 1970,#38 1970,Bancho Kano  
Nana〇Shiki Sentōjutsu (七〇式戦闘機),#4-5 1970,#7 1970,Haruna  Mayuzuki  Fuyuki Fujii
Kasane (かさね),#6 1970,#11 1970,Ryoichi Ikegami  
Siberia no Kiba (シベリアの牙),#7 1970,#16 1970,Kōichi Ikenai  
Ore wa Kebatetsu! (おれはケバ鉄!),#8 1970,#33 1970,Fujio Akatsuka  
Totsugeki Ramen (突撃ラーメン),#10 1970,#22 1970,Michiya Mochizuki  
Worst (ワースト),#11 1970,#34 1971,Kōtarō Komuro  
Ankoku Rettō (暗黒列島),#12 1970,#14 1971,Kōji Asaoka  
Arashi! San-piki (あらし!三匹),#13 1970,#23 1973,Satoshi Ikezawa  
Sennen Ōkoku (千年王国),#14 1970,#43 1970,Shigeru Mizuki  
Namida no Gyakuten Homer (涙の逆転ホーマー),#16 1970,#18 1970,Haruna Mayuzuki  
Geppare! Ōta-Tōshu (ケッパレ!太田投手),#18 1970,#27 1970,Shinobu Natsuki  Shinji Mizushima  Kokichi Ikazaki
1970 Tagiri (1970たぎり),#19 1970,#35 1970,Kae Sawaki  Kenji Nanba 
Issho Nikatsu Ippai (人生二勝一敗),#20 1970,#13 1971,Ikki Kajiwara  Ikeo Ikiri 
Kyūsoku 0.25-Pyō! (球速0.25秒!),#21 1970,#30 1970,Shirō Tōzaki  Haruna Mayuzuki 
Okinawa (オキナワ),#22 1970,#28 1970,Keiji Nakazawa  
Inochi Girigiri (命ぎりぎり),#23 1970,#24 1970,Jōya Kagemaru  
Akagami no Ōkami (赤毛の狼),#26 1970,#29 1970,Hiroshi Asuna  
Kajiko (カジコ),#29 1970,#31 1970,Kenji Abe  Yōko 
Manga Drifters (漫画ドリフターズ),#31 1970,#46 1975,Arima Eimoto  
Dokonjō Gaeru (ど根性ガエル),#31 1970,#24 1976,Yasumi Yoshizawa  
Yoake no Tategami (夜明けのタテガミ),#33 1970,#47 1970,Kōichi Ikeuchi  
Black Pro Fighter Takeru (ブラックプロファイター タケル),#36 1970,#45 1970,Tarō Bonten  
Akuma no Mizu (悪魔の水),#38 1970,#39 1970,Yukio Shinohara  
Toilet Hakase (トイレット博士),#39 1970,#14 1977,Kazuyoshi Torii  
Genyaku Seisho (現約聖書),#41 1970,#23 1971,George Akiyama  
Guts 4 (ガッツ4),#42 1970,#46 1970,Kai Takizawa  Keiji Yoshitani 
Jambo Yarō (ジャンボ野郎),#45 1970,#47 1970,Kenji Abe  
Aitsu! (あいつ!),#46 1970,#32 1971,Hisao Maki  Itsuo Sakai 
Kirisakareta Seishun (切りさかれた青春),#47 1970,#11 1971,Saho Sasazawa  Shirō Kasama 
Ashita wa Tsukameru ka (明日はつかめるか),#48 1970,#7 1971,Tōru Shinohara  
Wakai Kaze (若い嵐),#52 1970,#3-4 1971,Keiji Nakazawa  
Ningen no Jōken (人間の条件),#5-6 1971,#17 1971,Junbei Gomikawa  Kenji Abe 
Ikari no Mound (怒りのマウンド),#7 1971,#16 1971,Shinobu Natsuki  Takashi Mine 
ProWres Sōsamō (プロレス捜査網),#8 1971,#18 1971,Haruna Mayuzuki  
Lion Books II (ライオンブックスシリーズ),#13 1971,#10 1973,Osamu Tezuka  
Bijōmaru (美女丸),#14 1971,#20 1971,Zennosuke Tanaka  
Kīgāru (キーガール),#16 1971,#35 1971,Toru Shinohara  
Guzumu Kōshinkyoku (グズ六行進曲),#18 1971,#2 1972,Keiji Nakazawa  
Japasshu (ジャパッシュ),#20 1971,#44 1971,Mikiya Mochizuki  
4 Tarō 1 Hime (4タロウ1ヒメ),#21 1971,#35 1971,Yoshimoto Baron  
Nekketsu-dan (ネッけつ団),#32 1971,#34 1971,Go Nagai  
Black Eagle (ブラックイーグル),#33 1971,#36 1971,Mirai Sunny  Kenji Abe 
Bara no Sakamichi (ばらの坂道),#34 1971,#20 1972,George Akiyama  
V no Kuchibue (Vの口笛),#35 1971,#49 1971,Shirō Tōzaki  Takumi Nagayasu 
Samurai Giants (侍ジャイアンツ),#36 1971,#47 1974,Ikki Kajiwara  Kō Inoue 
Seishun Saizensen (青春最前線),#37 1971,#40 1971,Norihiro Nakajima  
Kōya no Shōnen Isamu (荒野の少年イサム),#38 1971,#2 1974,Sōji Yamakawa  Noboru Kawasaki 
Yami no Senshi (闇の戦士),#45 1971,#7 1972,Kōtarō Komuro  
Zūzūshī Yatsu (ずうずうしい奴),#49 1971,#7 1972,Renzaburō Shibata  Yūichi Sakahara  Itsuo Sakai
Head! Kiba (ヘッド!牙),#52 1971,#2 1972,Mikiya Mochizuki  